x;y;y;y;y;y;y;
[m];[m];[m];[m];[m];[m];[m];
0;1.1145269e-09;1.2736524e-09;1.1969892e-09;1.0553669e-09;1.0616425e-09;1.0982676e-09;
1.9171446e-10;;;;;;1.150282e-09;
1.9282088e-10;;;;1.128487e-09;;;
1.9973134e-10;1.1368662e-09;;;;;;
2.0023229e-10;;;;;1.0065512e-09;;
2.0285328e-10;;1.276243e-09;;;;;
2.0824746e-10;;;1.1171715e-09;;;;
3.8342892e-10;;;;;;1.2318559e-09;
3.8564175e-10;;;;1.1689802e-09;;;
3.9946267e-10;1.1779694e-09;;;;;;
4.0046458e-10;;;;;1.191157e-09;;
4.0570656e-10;;1.3037428e-09;;;;;
4.1649492e-10;;;1.2316412e-09;;;;
5.7514338e-10;;;;;;1.3510869e-09;
5.7846263e-10;;;;1.3843734e-09;;;
5.9919401e-10;1.4522613e-09;;;;;;
6.0069686e-10;;;;;1.476015e-09;;
6.0855985e-10;;1.4106488e-09;;;;;
6.2474238e-10;;;1.5823618e-09;;;;
7.6685783e-10;;;;;;1.4660053e-09;
7.7128351e-10;;;;1.6106313e-09;;;
7.9892535e-10;1.395803e-09;;;;;;
8.0092915e-10;;;;;1.4643254e-09;;
8.1141313e-10;;1.3984519e-09;;;;;
8.3298983e-10;;;1.4771854e-09;;;;
9.5857229e-10;;;;;;1.4550567e-09;
9.6410438e-10;;;;1.5910808e-09;;;
9.9865668e-10;1.3198997e-09;;;;;;
1.0011614e-09;;;;;1.4632535e-09;;
1.0142664e-09;;1.3036183e-09;;;;;
1.0412373e-09;;;1.4134577e-09;;;;
1.1502868e-09;;;;;;1.4242169e-09;
1.1569253e-09;;;;1.557321e-09;;;
1.198388e-09;1.30624e-09;;;;;;
1.2013937e-09;;;;;1.5482376e-09;;
1.2171197e-09;;1.1607321e-09;;;;;
1.2494848e-09;;;1.4134347e-09;;;;
1.3420012e-09;;;;;;1.1453772e-09;
1.3497461e-09;;;;1.639469e-09;;;
1.3981194e-09;1.1593416e-09;;;;;;
1.401626e-09;;;;;1.1535912e-09;;
1.419973e-09;;9.4329707e-10;;;;;
1.4577322e-09;;;1.1340085e-09;;;;
1.5337157e-09;;;;;;7.0262135e-10;
1.542567e-09;;;;1.3141085e-09;;;
1.5978507e-09;6.436411e-10;;;;;;
1.6018583e-09;;;;;9.2447542e-10;;
1.6228263e-09;;7.5999975e-10;;;;;
1.6659797e-09;;;8.2226848e-10;;;;
1.7254301e-09;;;;;;6.8007036e-10;
1.7353879e-09;;;;9.2587183e-10;;;
1.797582e-09;6.3123911e-10;;;;;;
1.8020906e-09;;;;;8.6492703e-10;;
1.8256795e-09;;8.0080004e-10;;;;;
1.8742271e-09;;;7.3795321e-10;;;;
1.9171446e-09;;;;;;8.0097918e-10;
1.9282088e-09;;;;8.358114e-10;;;
1.9973134e-09;7.9736953e-10;;;;;;
2.0023229e-09;;;;;9.048207e-10;;
2.0285328e-09;;7.1588267e-10;;;;;
2.0824746e-09;;;7.7742167e-10;;;;
2.1210296e-09;;;;8.1205647e-10;;;
